Pos,Player,Rk,Season,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
G,Mike James,981,2020_21,2.6,7.1,0.8,2.4,1.8,4.7,1.6,2.1,0.2,2.2,2.5,4.2,0.5,0.1,1.5,0.8
G,DaQuan Jeffries,982,2020_21,1.6,3.9,0.6,2.2,1.0,1.7,0.2,0.3,0.6,1.7,2.3,0.7,0.5,0.3,0.5,1.5
G,DaQuan Jeffries,983,2020_21,1.3,3.2,0.5,1.6,0.8,1.6,0.3,0.4,0.5,1.1,1.6,0.3,0.4,0.2,0.4,1.3
G,DaQuan Jeffries,984,2020_21,2.0,4.8,0.8,3.0,1.2,1.8,0.1,0.1,0.8,2.5,3.2,1.2,0.6,0.5,0.5,1.9
G,Ty Jerome,985,2020_21,3.9,8.7,2.2,5.1,1.7,3.6,0.8,1.0,0.3,2.5,2.8,3.6,0.6,0.2,1.4,1.8
G,Isaiah Joe,986,2020_21,1.2,3.2,1.0,2.6,0.2,0.7,0.4,0.6,0.1,0.7,0.9,0.5,0.3,0.1,0.3,0.8
F,Alize Johnson,987,2020_21,2.2,3.8,0.1,0.3,2.2,3.4,0.7,0.7,1.5,3.5,5.0,0.8,0.3,0.3,0.5,0.9
F,Cameron Johnson,988,2020_21,3.4,8.1,2.0,5.6,1.4,2.5,0.8,1.0,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4
F,James Johnson,989,2020_21,2.9,6.4,0.6,2.4,2.3,4.1,0.9,1.5,0.6,2.8,3.5,1.9,0.8,0.8,1.1,2.4
F,James Johnson,990,2020_21,2.3,5.0,0.5,2.1,1.8,2.9,0.6,1.0,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0
F,James Johnson,991,2020_21,3.6,8.3,0.7,2.7,2.9,5.5,1.3,2.1,0.8,3.3,4.1,2.2,0.8,0.9,1.3,2.8
F,Keldon Johnson,992,2020_21,4.9,10.2,0.9,2.6,4.0,7.6,2.1,2.8,1.3,4.6,6.0,1.8,0.6,0.3,1.1,2.1
F,Stanley Johnson,993,2020_21,1.5,3.8,0.7,2.2,0.7,1.6,0.7,0.9,0.5,2.0,2.5,1.5,0.9,0.3,0.9,1.9
G,Tyler Johnson,994,2020_21,1.8,4.7,1.2,3.4,0.6,1.3,0.5,0.5,0.2,1.8,2.0,1.2,0.4,0.0,0.4,1.1
C,Nikola Jokić,995,2020_21,10.2,18.0,1.3,3.3,8.9,14.7,4.8,5.5,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7
C,Damian Jones,996,2020_21,1.8,2.6,0.0,0.1,1.8,2.5,1.1,1.5,0.9,2.2,3.1,0.7,0.3,0.7,0.7,2.0
C,Damian Jones,997,2020_21,0.6,1.1,0.0,0.1,0.6,1.1,0.4,0.8,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4
C,Damian Jones,998,2020_21,2.0,2.1,0.0,0.0,2.0,2.1,1.4,1.5,1.0,2.3,3.3,0.1,0.1,0.9,0.6,2.8
C,Damian Jones,999,2020_21,2.7,4.1,0.1,0.2,2.6,3.9,1.5,2.1,1.2,3.3,4.5,1.4,0.5,1.0,0.9,2.1
F,Derrick Jones Jr.,1000,2020_21,2.5,5.2,0.7,2.3,1.8,2.9,1.0,1.6,1.3,2.2,3.5,0.8,0.6,0.9,0.6,2.2
G,Mason Jones,1001,2020_21,1.6,3.8,0.8,2.1,0.9,1.8,1.3,2.0,0.2,1.5,1.7,1.3,0.2,0.0,0.9,0.8
G,Mason Jones,1002,2020_21,1.8,4.4,0.9,2.5,0.9,1.9,1.3,2.2,0.2,1.8,2.0,1.5,0.2,0.0,1.1,0.8
G,Tre Jones,1004,2020_21,1.0,2.1,0.1,0.1,0.9,2.0,0.5,0.5,0.2,0.4,0.6,1.1,0.2,0.0,0.4,0.4
G,Tyus Jones,1005,2020_21,2.5,5.9,0.6,2.0,1.9,3.9,0.6,0.6,0.3,1.7,2.0,3.7,0.9,0.1,0.7,0.4
C,DeAndre Jordan,1006,2020_21,3.3,4.4,0.0,0.0,3.3,4.4,0.8,1.6,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2.0
G,Cory Joseph,1007,2020_21,3.2,6.8,0.7,2.1,2.5,4.7,1.1,1.4,0.6,2.0,2.5,3.4,1.0,0.3,1.3,2.2
G,Cory Joseph,1008,2020_21,2.5,5.7,0.7,2.1,1.8,3.5,0.8,1.1,0.6,1.7,2.3,2.5,0.9,0.2,1.0,2.2
G,Cory Joseph,1009,2020_21,4.7,9.3,0.7,2.0,3.9,7.3,1.9,2.2,0.5,2.6,3.2,5.5,1.2,0.5,1.8,2.2
F,Mfiondu Kabengele,1010,2020_21,0.8,2.3,0.3,1.3,0.5,1.0,0.4,0.5,0.3,1.2,1.5,0.4,0.2,0.3,0.4,0.9
F,Mfiondu Kabengele,1012,2020_21,1.5,3.6,0.6,2.0,0.9,1.6,0.7,0.9,0.7,2.2,2.9,0.8,0.4,0.6,0.6,1.1
C,Frank Kaminsky,1013,2020_21,2.6,5.5,0.7,1.8,1.9,3.7,0.8,1.3,0.8,3.2,4.0,1.7,0.3,0.4,0.5,1.5
G,Luke Kennard,1014,2020_21,3.1,6.6,1.6,3.6,1.5,3.0,0.4,0.5,0.2,2.3,2.6,1.7,0.4,0.1,0.8,1.4
F,Louis King,1015,2020_21,2.8,5.7,0.7,1.8,2.2,3.8,1.0,1.0,0.8,2.2,3.0,1.5,1.2,0.5,0.7,1.5
F,Maxi Kleber,1016,2020_21,2.3,5.5,1.7,4.2,0.6,1.3,0.7,0.7,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1
F,Nathan Knight,1017,2020_21,1.1,3.0,0.2,1.0,0.9,2.0,1.3,1.7,0.8,1.4,2.2,0.2,0.3,0.3,0.5,0.7
F,Kevin Knox,1018,2020_21,1.3,3.4,0.8,2.1,0.5,1.3,0.4,0.5,0.2,1.2,1.5,0.5,0.3,0.1,0.4,0.9
G,John Konchar,1019,2020_21,1.6,3.2,0.5,1.3,1.1,1.9,0.6,0.7,0.8,2.2,3.0,1.1,0.7,0.2,0.4,0.9
G,Furkan Korkmaz,1020,2020_21,3.1,7.7,1.8,4.9,1.3,2.8,1.1,1.5,0.3,1.7,2.1,1.5,0.9,0.2,0.8,1.2
F,Luke Kornet,1021,2020_21,1.4,3.3,0.5,1.9,0.9,1.4,0.1,0.2,0.5,1.7,2.2,0.8,0.1,1.0,0.2,0.6
F,Luke Kornet,1022,2020_21,0.7,2.1,0.5,1.8,0.2,0.3,0.2,0.3,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1
C,Luke Kornet,1023,2020_21,1.9,4.1,0.5,2.0,1.4,2.1,0.1,0.1,0.7,2.2,2.9,1.1,0.1,1.4,0.3,1.1
F,Rodions Kurucs,1024,2020_21,0.5,1.5,0.3,1.0,0.2,0.5,0.1,0.2,0.2,0.9,1.1,0.5,0.4,0.2,0.6,0.8
