Pos,Player,Rk,Season,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
C,Steven Adams,0,2019_20,4.5,7.6,0.0,0.0,4.5,7.5,1.9,3.2,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9
F,Bam Adebayo,1,2019_20,6.1,11.0,0.0,0.2,6.1,10.8,3.7,5.3,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5
C,LaMarcus Aldridge,2,2019_20,7.4,15.0,1.2,3.0,6.2,12.0,3.0,3.6,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4
C,Kyle Alexander,3,2019_20,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5
G,Nickeil Alexander-Walker,4,2019_20,2.1,5.7,1.0,2.8,1.1,2.8,0.5,0.8,0.2,1.6,1.8,1.9,0.4,0.2,1.1,1.2
G,Grayson Allen,5,2019_20,3.1,6.6,1.5,3.7,1.6,2.9,1.0,1.2,0.2,2.0,2.2,1.4,0.3,0.1,0.9,1.4
C,Jarrett Allen,6,2019_20,4.3,6.6,0.0,0.1,4.3,6.6,2.4,3.9,3.1,6.5,9.6,1.6,0.6,1.3,1.1,2.3
G,Kadeem Allen,7,2019_20,1.9,4.4,0.5,1.6,1.4,2.8,0.7,1.1,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7
F,Al-Farouq Aminu,8,2019_20,1.4,4.8,0.5,2.0,0.9,2.8,1.1,1.6,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5
G,Justin Anderson,9,2019_20,1.0,3.8,0.6,2.9,0.4,0.9,0.2,0.4,0.1,2.0,2.1,0.8,0.0,0.6,0.4,1.3
F,Kyle Anderson,10,2019_20,2.3,4.9,0.4,1.3,2.0,3.7,0.8,1.2,0.9,3.4,4.3,2.4,0.8,0.6,1.0,1.7
C,Ryan Anderson,11,2019_20,1.0,3.5,0.5,2.5,0.5,1.0,0.0,0.0,0.0,3.5,3.5,1.0,0.5,0.0,0.5,0.5
F,Giannis Antetokounmpo,12,2019_20,10.9,19.7,1.4,4.7,9.5,15.0,6.3,10.0,2.2,11.4,13.6,5.6,1.0,1.0,3.7,3.1
F,Thanasis Antetokounmpo,14,2019_20,1.2,2.4,0.0,0.5,1.2,1.9,0.4,0.9,0.6,0.6,1.2,0.8,0.4,0.1,0.6,0.9
F,Carmelo Anthony,15,2019_20,5.8,13.5,1.5,3.9,4.3,9.6,2.3,2.8,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9
F,OG Anunoby,16,2019_20,4.1,8.2,1.3,3.3,2.9,4.9,1.0,1.5,1.2,4.1,5.3,1.6,1.4,0.7,1.1,2.4
G,Ryan Arcidiacono,17,2019_20,1.6,3.8,0.9,2.4,0.6,1.4,0.5,0.7,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7
F,Trevor Ariza,18,2019_20,2.7,6.1,1.5,3.9,1.2,2.2,1.2,1.4,0.6,4.0,4.6,1.7,1.3,0.3,1.1,2.1
F,Trevor Ariza,19,2019_20,2.0,5.2,1.3,3.8,0.7,1.3,0.7,0.8,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0
F,Trevor Ariza,20,2019_20,3.7,7.6,1.6,4.0,2.1,3.5,2.0,2.2,0.6,4.1,4.8,2.0,1.6,0.4,1.3,2.3
G,D.J. Augustin,21,2019_20,3.2,8.1,1.2,3.5,2.0,4.6,2.8,3.2,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3
C,Deandre Ayton,22,2019_20,8.2,14.9,0.1,0.3,8.1,14.6,1.8,2.3,3.9,7.6,11.5,1.9,0.7,1.5,2.1,3.1
G,Dwayne Bacon,23,2019_20,2.2,6.3,0.5,1.7,1.7,4.5,0.9,1.4,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3
C,Marvin Bagley III,24,2019_20,6.0,12.8,0.3,1.7,5.7,11.2,1.9,2.4,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3
G,Lonzo Ball,25,2019_20,4.4,10.9,2.3,6.3,2.0,4.6,0.7,1.2,1.1,5.0,6.1,7.0,1.4,0.6,3.1,2.0
C,Mo Bamba,26,2019_20,2.1,4.6,0.6,1.7,1.5,2.9,0.5,0.7,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9
G,J.J. Barea,27,2019_20,2.9,7.1,1.1,2.9,1.8,4.2,0.7,0.8,0.3,1.5,1.8,3.9,0.2,0.1,1.3,0.9
F,Harrison Barnes,28,2019_20,5.1,11.0,1.4,3.7,3.7,7.3,3.0,3.7,1.1,3.9,4.9,2.2,0.6,0.2,1.2,1.3
G,RJ Barrett,29,2019_20,5.2,13.0,1.1,3.5,4.1,9.5,2.8,4.5,0.9,4.1,5.0,2.6,1.0,0.3,2.2,2.2
F,Will Barton,30,2019_20,5.7,12.7,1.9,5.0,3.9,7.8,1.8,2.3,1.3,5.0,6.3,3.7,1.1,0.5,1.5,2.1
F,Keita Bates-Diop,31,2019_20,2.3,5.3,0.8,2.3,1.5,3.0,1.2,1.7,0.6,2.3,2.9,0.7,0.4,0.5,0.4,1.0
F,Keita Bates-Diop,32,2019_20,2.4,5.6,0.8,2.5,1.5,3.0,1.2,1.8,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0
F,Keita Bates-Diop,33,2019_20,1.9,4.0,0.4,1.3,1.4,2.7,1.1,1.4,0.6,1.9,2.4,0.0,0.3,0.6,0.4,1.0
F,Nicolas Batum,34,2019_20,1.3,3.7,0.6,2.2,0.6,1.5,0.4,0.5,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9
C,Aron Baynes,35,2019_20,4.4,9.1,1.4,4.0,3.0,5.1,1.3,1.8,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4
F,Kent Bazemore,36,2019_20,2.9,7.9,1.2,3.6,1.7,4.3,1.7,2.2,0.4,3.9,4.3,1.4,1.1,0.6,1.3,2.9
F,Kent Bazemore,37,2019_20,2.6,7.6,1.3,4.0,1.3,3.6,1.3,1.7,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8
F,Kent Bazemore,38,2019_20,3.5,8.3,1.1,2.9,2.4,5.4,2.2,3.0,0.6,4.3,4.9,1.3,1.2,0.4,1.2,3.0
F,Darius Bazley,39,2019_20,2.0,5.2,0.8,2.3,1.2,2.9,0.7,1.0,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9
G,Bradley Beal,40,2019_20,10.4,22.9,3.0,8.4,7.4,14.4,6.8,8.0,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2
G,Malik Beasley,41,2019_20,4.1,9.7,1.9,5.0,2.2,4.7,1.0,1.2,0.3,2.4,2.7,1.4,0.7,0.1,1.0,1.4
G,Malik Beasley,42,2019_20,2.9,7.3,1.4,3.9,1.4,3.4,0.8,0.9,0.2,1.7,1.9,1.2,0.8,0.1,0.9,1.2
G,Malik Beasley,43,2019_20,7.9,16.6,3.5,8.2,4.4,8.4,1.5,2.0,0.6,4.4,5.1,1.9,0.6,0.1,1.5,1.9
G,Marco Belinelli,44,2019_20,2.2,5.5,1.2,3.1,1.0,2.4,0.8,1.0,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8
C,Jordan Bell,45,2019_20,1.2,2.3,0.1,0.4,1.1,1.9,0.7,1.1,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7
C,Jordan Bell,46,2019_20,1.2,2.2,0.1,0.3,1.1,1.9,0.6,1.1,1.0,1.9,2.9,0.5,0.1,0.4,0.7,0.6
C,Jordan Bell,47,2019_20,1.5,3.5,1.0,1.5,0.5,2.0,1.0,1.0,1.0,0.5,1.5,1.0,0.5,0.0,1.5,1.0
G,DeAndre' Bembry,48,2019_20,2.4,5.3,0.3,1.5,2.1,3.8,0.6,1.1,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0
C,Dragan Bender,49,2019_20,2.6,5.8,0.9,2.7,1.6,3.1,0.6,0.9,1.0,3.6,4.6,1.8,0.3,0.6,1.3,2.6
C,Dragan Bender,50,2019_20,1.4,3.0,0.6,1.3,0.9,1.7,0.3,0.4,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3
F,Dragan Bender,51,2019_20,3.4,7.9,1.2,3.8,2.2,4.1,0.9,1.2,1.8,4.1,5.9,2.1,0.4,0.4,1.8,2.9
F,Dāvis Bertāns,52,2019_20,4.9,11.3,3.7,8.7,1.2,2.6,1.9,2.3,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6
G,Patrick Beverley,53,2019_20,2.9,6.7,1.6,4.0,1.3,2.6,0.6,0.9,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1
C,Khem Birch,54,2019_20,1.5,3.0,0.0,0.0,1.5,3.0,1.4,2.1,1.9,2.7,4.6,1.0,0.4,0.5,0.6,1.9
C,Goga Bitadze,55,2019_20,1.3,2.8,0.1,0.8,1.1,2.0,0.4,0.6,0.5,1.5,2.0,0.4,0.2,0.7,0.5,1.2
C,Bismack Biyombo,56,2019_20,2.8,5.2,0.0,0.0,2.8,5.2,1.7,2.8,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2
F,Nemanja Bjelica,57,2019_20,4.4,9.1,1.9,4.4,2.5,4.6,1.0,1.2,1.5,4.8,6.4,2.8,0.9,0.6,1.4,3.0
G,Eric Bledsoe,58,2019_20,5.5,11.5,1.2,3.5,4.3,8.0,2.8,3.5,0.7,3.9,4.6,5.4,0.9,0.4,2.4,2.1
G,Bogdan Bogdanović,59,2019_20,5.5,12.6,2.7,7.2,2.8,5.3,1.4,1.9,0.4,3.0,3.4,3.4,1.0,0.2,1.7,2.2
F,Bojan Bogdanović,60,2019_20,6.6,14.8,3.0,7.3,3.6,7.6,4.0,4.4,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7
F,Bol Bol,61,2019_20,2.0,4.0,0.6,1.3,1.4,2.7,1.1,1.4,0.7,2.0,2.7,0.9,0.3,0.9,1.4,1.6
C,Jonah Bolden,62,2019_20,0.6,1.6,0.0,0.6,0.6,1.0,0.3,0.6,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4
C,Jonah Bolden,64,2019_20,0.7,2.7,0.0,1.0,0.7,1.7,0.7,0.7,1.0,1.7,2.7,0.0,0.7,0.7,0.0,2.0
G,Jordan Bone,66,2019_20,0.5,2.0,0.2,1.0,0.3,1.0,0.0,0.0,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6
F,Isaac Bonga,67,2019_20,1.8,3.5,0.4,1.1,1.4,2.5,1.0,1.3,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4
G,Devin Booker,68,2019_20,9.0,18.3,2.0,5.7,6.9,12.6,6.7,7.3,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0
C,Chris Boucher,69,2019_20,2.3,4.8,0.6,1.9,1.7,2.9,1.5,1.9,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8
F,Brian Bowen,70,2019_20,0.5,1.7,0.0,0.3,0.5,1.3,0.0,0.0,0.2,1.0,1.2,0.0,0.0,0.2,0.2,0.5
G,Ky Bowman,71,2019_20,3.0,7.1,0.7,2.4,2.2,4.8,0.8,0.9,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3
G,Avery Bradley,72,2019_20,3.5,7.8,1.3,3.5,2.2,4.3,0.4,0.5,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2
C,Tony Bradley,73,2019_20,2.2,3.3,0.1,0.1,2.1,3.2,0.5,0.8,1.9,2.7,4.6,0.4,0.2,0.6,0.5,2.0
F,Jarrell Brantley,74,2019_20,1.1,3.1,0.3,1.4,0.8,1.7,0.1,0.2,0.2,2.0,2.2,1.2,0.3,0.6,0.8,0.8
F,Ignas Brazdeikis,75,2019_20,0.7,2.4,0.1,1.0,0.6,1.4,0.4,0.6,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3
F,Corey Brewer,76,2019_20,0.4,0.8,0.0,0.2,0.4,0.6,0.2,0.6,0.4,1.2,1.6,0.4,0.8,0.0,0.4,1.4
F,Mikal Bridges,77,2019_20,3.4,6.6,1.0,2.7,2.4,4.0,1.4,1.7,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2
F,Miles Bridges,78,2019_20,4.9,11.6,1.5,4.6,3.4,7.0,1.6,2.0,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0
F,Oshae Brissett,79,2019_20,0.7,1.9,0.2,0.8,0.5,1.1,0.4,0.5,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9
F,Ryan Broekhoff,80,2019_20,1.3,3.5,1.2,3.0,0.1,0.5,0.4,0.5,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9
G,Malcolm Brogdon,81,2019_20,6.0,13.8,1.4,4.3,4.6,9.5,3.1,3.4,0.9,4.0,4.9,7.1,0.6,0.2,2.4,1.8
G,Dillon Brooks,82,2019_20,6.0,14.6,2.0,5.6,3.9,9.0,2.2,2.8,0.9,2.4,3.3,2.1,0.9,0.4,1.7,3.8
G,Bruce Brown,83,2019_20,3.4,7.7,0.6,1.7,2.8,6.1,1.5,2.1,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8
G,Jaylen Brown,85,2019_20,7.5,15.6,2.3,5.9,5.2,9.6,3.1,4.3,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9
F,Sterling Brown,87,2019_20,1.8,4.9,0.8,2.6,1.0,2.3,0.6,0.8,0.6,2.9,3.5,1.0,0.6,0.1,0.8,1.0
F,Troy Brown Jr.,88,2019_20,4.0,9.0,0.9,2.6,3.1,6.4,1.6,2.0,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9
G,Jalen Brunson,89,2019_20,3.2,6.8,0.8,2.1,2.4,4.7,1.1,1.3,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3
C,Thomas Bryant,90,2019_20,5.3,9.1,0.8,2.0,4.5,7.1,1.9,2.5,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2
G,Reggie Bullock,91,2019_20,3.1,7.7,1.3,3.8,1.8,3.9,0.6,0.7,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9
G,Trey Burke,92,2019_20,2.8,6.3,1.0,2.3,1.9,4.1,0.7,0.9,0.5,1.0,1.5,2.5,0.5,0.1,0.6,1.0
G,Trey Burke,93,2019_20,2.4,5.1,0.6,1.5,1.7,3.6,0.5,0.7,0.6,0.8,1.4,2.1,0.3,0.0,0.5,0.8
G,Trey Burke,94,2019_20,4.4,10.3,2.0,4.6,2.4,5.6,1.3,1.4,0.1,1.8,1.9,3.8,1.1,0.1,1.1,1.5
G,Alec Burks,95,2019_20,4.9,11.6,1.8,4.6,3.1,7.1,3.6,4.0,0.7,3.5,4.3,2.9,0.9,0.3,1.4,1.9
F,Alec Burks,96,2019_20,5.1,12.5,1.8,4.7,3.3,7.9,4.2,4.7,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2
G,Alec Burks,97,2019_20,4.3,9.3,1.8,4.3,2.5,5.0,1.9,2.3,0.6,2.5,3.1,2.1,0.7,0.0,0.8,1.2
F,Deonte Burton,98,2019_20,1.1,3.2,0.3,1.4,0.8,1.8,0.2,0.4,0.2,1.3,1.5,0.4,0.2,0.3,0.5,0.9
F,Jimmy Butler,99,2019_20,5.9,13.1,0.5,2.1,5.4,11.0,7.6,9.1,1.8,4.8,6.7,6.0,1.8,0.6,2.2,1.4
C,Bruno Caboclo,100,2019_20,1.3,3.0,0.2,1.1,1.1,1.9,0.3,0.3,0.8,1.2,2.0,0.4,0.5,0.6,0.4,1.0
C,Bruno Caboclo,101,2019_20,1.3,3.1,0.2,1.1,1.1,2.0,0.1,0.1,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0
C,Bruno Caboclo,102,2019_20,1.3,2.5,0.3,1.0,1.0,1.5,0.8,0.8,0.8,1.3,2.0,0.3,0.6,0.6,0.8,1.0
C,Devontae Cacok,103,2019_20,3.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0
G,Kentavious Caldwell-Pope,104,2019_20,3.4,7.3,1.3,3.5,2.1,3.9,1.1,1.5,0.6,1.5,2.1,1.6,0.8,0.2,0.9,1.9
C,Clint Capela,106,2019_20,6.3,9.9,0.0,0.0,6.3,9.9,1.4,2.7,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6
C,DeMarre Carroll,107,2019_20,1.0,2.8,0.3,1.4,0.7,1.4,1.2,1.8,0.5,1.8,2.3,1.0,0.3,0.2,0.7,1.3
F,DeMarre Carroll,108,2019_20,0.6,1.9,0.2,0.9,0.4,1.1,0.8,1.3,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3
C,DeMarre Carroll,109,2019_20,1.8,4.1,0.6,2.2,1.2,1.9,1.9,2.4,0.6,2.1,2.7,1.6,0.7,0.3,0.8,1.3
G,Jevon Carter,110,2019_20,1.7,4.2,1.1,2.5,0.7,1.7,0.4,0.5,0.5,1.5,2.0,1.4,0.8,0.3,0.6,1.5
F,Vince Carter,111,2019_20,1.8,5.1,1.0,3.4,0.8,1.7,0.4,0.5,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5
C,Wendell Carter Jr.,112,2019_20,4.3,8.0,0.1,0.7,4.1,7.3,2.6,3.5,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8
G,Michael Carter-Williams,113,2019_20,2.5,5.8,0.5,1.7,2.0,4.1,1.8,2.1,1.0,2.2,3.3,2.4,1.1,0.5,1.2,1.9
G,Alex Caruso,114,2019_20,1.9,4.5,0.6,1.9,1.3,2.7,1.1,1.5,0.3,1.7,1.9,1.9,1.1,0.3,0.8,1.5
C,Willie Cauley-Stein,115,2019_20,3.2,5.6,0.0,0.0,3.2,5.6,0.7,1.2,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2
C,Willie Cauley-Stein,116,2019_20,3.5,6.3,0.0,0.0,3.5,6.3,0.9,1.4,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5
C,Willie Cauley-Stein,117,2019_20,2.4,3.5,0.0,0.1,2.4,3.4,0.4,0.7,1.0,3.6,4.6,0.8,0.3,0.8,0.4,1.5
C,Tyson Chandler,118,2019_20,0.5,0.7,0.0,0.0,0.5,0.7,0.2,0.5,1.0,1.6,2.5,0.2,0.2,0.3,0.3,1.2
F,Wilson Chandler,119,2019_20,2.1,5.2,1.1,3.5,1.1,1.8,0.6,0.7,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3
G,Joe Chealey,120,2019_20,0.0,1.8,0.0,1.0,0.0,0.8,0.5,0.5,0.0,0.0,0.0,0.3,1.0,0.0,0.5,0.5
F,Zylan Cheatham,121,2019_20,1.5,2.3,0.0,0.3,1.5,2.0,0.0,0.0,0.8,1.5,2.3,0.8,0.3,0.3,1.0,2.5
G,Chris Chiozza,122,2019_20,2.0,5.0,1.0,2.6,1.0,2.4,0.2,0.2,0.3,1.6,1.9,3.0,0.8,0.1,1.1,1.3
G,Chris Chiozza,123,2019_20,1.0,3.4,0.7,1.6,0.3,1.8,0.0,0.0,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2
G,Chris Chiozza,124,2019_20,2.5,5.9,1.1,3.1,1.4,2.8,0.3,0.3,0.5,1.6,2.1,3.1,0.6,0.1,1.3,1.4
F,Marquese Chriss,125,2019_20,3.6,6.5,0.1,0.7,3.4,5.9,2.0,2.6,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1
F,Gary Clark,126,2019_20,1.3,3.2,0.9,2.6,0.4,0.5,0.2,0.2,0.9,1.7,2.6,0.4,0.1,0.5,0.2,1.1
F,Gary Clark,127,2019_20,1.3,3.3,1.0,2.8,0.3,0.4,0.3,0.4,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2
F,Gary Clark,128,2019_20,1.3,3.1,0.9,2.5,0.4,0.6,0.1,0.1,1.1,1.8,2.9,0.2,0.2,0.6,0.3,1.0
F,Brandon Clarke,129,2019_20,5.1,8.3,0.4,1.1,4.7,7.2,1.5,1.9,1.6,4.4,5.9,1.4,0.6,0.8,0.9,1.7
G,Jordan Clarkson,130,2019_20,5.5,12.2,2.1,5.8,3.4,6.4,1.9,2.3,0.7,1.9,2.6,1.9,0.6,0.2,1.4,1.5
G,Jordan Clarkson,131,2019_20,5.0,11.2,2.0,5.5,2.9,5.8,2.6,3.0,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1
G,Jordan Clarkson,132,2019_20,6.0,12.9,2.2,6.0,3.7,6.8,1.5,1.9,0.7,2.1,2.8,1.6,0.7,0.2,1.4,1.8
C,Nic Claxton,133,2019_20,1.8,3.2,0.1,0.5,1.7,2.7,0.7,1.4,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9
G,Chris Clemons,134,2019_20,1.7,4.3,1.1,3.2,0.6,1.1,0.3,0.3,0.1,0.8,0.9,0.8,0.3,0.2,0.6,0.8
G,Amir Coffey,136,2019_20,1.3,3.0,0.3,1.1,0.9,1.9,0.3,0.6,0.2,0.7,0.9,0.8,0.3,0.1,0.4,1.1
F,John Collins,137,2019_20,8.6,14.8,1.4,3.6,7.2,11.2,2.9,3.7,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4
F,Zach Collins,138,2019_20,2.9,6.2,0.6,1.7,2.3,4.5,0.5,0.7,2.3,4.0,6.3,1.5,0.5,0.5,1.3,3.3
G,Mike Conley,139,2019_20,4.9,12.1,2.0,5.4,2.9,6.6,2.4,3.0,0.7,2.5,3.2,4.4,0.8,0.1,2.0,2.2
G,Pat Connaughton,140,2019_20,2.0,4.5,0.8,2.5,1.2,2.0,0.5,0.6,0.9,3.3,4.2,1.6,0.4,0.5,0.8,1.0
G,Quinn Cook,141,2019_20,2.1,4.9,0.7,1.9,1.4,2.9,0.3,0.3,0.3,0.9,1.2,1.1,0.3,0.0,0.8,0.6
F,Tyler Cook,144,2019_20,0.5,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.5
C,Robert Covington,145,2019_20,4.4,10.3,2.3,6.9,2.1,3.5,1.4,1.8,0.9,5.7,6.6,1.3,1.6,1.3,1.5,3.1
F,Robert Covington,146,2019_20,4.5,10.3,2.3,6.5,2.3,3.8,1.6,2.0,0.8,5.2,6.0,1.2,1.7,0.9,1.5,3.1
C,Robert Covington,147,2019_20,4.0,10.3,2.4,7.6,1.6,2.7,1.1,1.4,1.2,6.8,8.0,1.5,1.6,2.2,1.4,3.3
F,Allen Crabbe,148,2019_20,1.7,4.8,1.0,3.2,0.7,1.6,0.3,0.4,0.3,1.8,2.1,0.9,0.4,0.1,0.5,1.3
G,Allen Crabbe,149,2019_20,1.9,5.1,1.1,3.3,0.8,1.8,0.3,0.4,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3
F,Allen Crabbe,150,2019_20,1.2,3.8,0.7,2.9,0.6,0.9,0.1,0.2,0.1,1.2,1.3,0.6,0.0,0.0,0.6,1.2
F,Torrey Craig,151,2019_20,2.1,4.6,0.8,2.4,1.4,2.3,0.4,0.6,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3
G,Jamal Crawford,152,2019_20,2.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
F,Jae Crowder,153,2019_20,3.5,8.7,2.1,6.1,1.4,2.6,1.5,1.9,0.8,5.1,5.9,2.5,1.1,0.4,1.1,2.2
F,Jae Crowder,154,2019_20,3.3,8.9,1.7,5.9,1.5,3.0,1.7,2.1,0.9,5.3,6.2,2.8,1.0,0.3,1.2,1.9
F,Jae Crowder,155,2019_20,4.0,8.2,2.9,6.4,1.1,1.8,1.1,1.5,0.6,4.8,5.4,1.8,1.3,0.5,0.8,2.9
G,Jarrett Culver,156,2019_20,3.7,9.0,1.0,3.5,2.6,5.5,0.9,1.9,1.1,2.3,3.4,1.7,0.9,0.6,1.3,2.0
G,Seth Curry,157,2019_20,4.4,9.0,2.3,5.0,2.2,4.0,1.3,1.5,0.4,1.8,2.3,1.9,0.6,0.1,1.0,1.8
G,Stephen Curry,158,2019_20,6.6,16.4,2.4,9.8,4.2,6.6,5.2,5.2,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2
G,Troy Daniels,159,2019_20,1.5,4.0,1.0,2.8,0.6,1.1,0.2,0.3,0.3,0.9,1.1,0.4,0.2,0.1,0.3,0.8
G,Troy Daniels,160,2019_20,1.5,3.9,1.0,2.7,0.5,1.1,0.2,0.4,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7
G,Troy Daniels,161,2019_20,1.7,4.7,1.0,3.3,0.7,1.3,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5,1.2
F,Anthony Davis,162,2019_20,8.9,17.7,1.2,3.5,7.7,14.2,7.2,8.5,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5
C,Ed Davis,163,2019_20,0.8,1.6,0.0,0.0,0.8,1.6,0.3,0.5,1.3,2.5,3.8,0.4,0.4,0.3,0.5,2.2
G,Terence Davis,164,2019_20,2.8,6.1,1.3,3.4,1.5,2.7,0.7,0.8,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7
C,Dewayne Dedmon,165,2019_20,2.3,5.8,0.5,2.4,1.8,3.4,0.7,0.8,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0
C,Dewayne Dedmon,166,2019_20,2.0,5.0,0.4,2.1,1.6,2.9,0.7,0.8,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7
C,Dewayne Dedmon,167,2019_20,3.3,8.4,0.8,3.6,2.5,4.8,0.7,0.8,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0
G,Matthew Dellavedova,168,2019_20,1.1,3.1,0.4,1.6,0.7,1.5,0.6,0.6,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4
F,DeMar DeRozan,169,2019_20,8.2,15.4,0.1,0.5,8.1,14.9,5.6,6.6,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6
C,Cheick Diallo,170,2019_20,2.0,3.0,0.0,0.1,1.9,3.0,0.7,0.8,0.6,2.1,2.8,0.5,0.2,0.3,0.7,1.2
F,Hamidou Diallo,171,2019_20,2.9,6.4,0.3,1.2,2.5,5.2,0.8,1.4,1.0,2.7,3.6,0.8,0.8,0.2,1.1,2.2
C,Gorgui Dieng,172,2019_20,2.6,5.8,0.9,2.4,1.8,3.4,1.2,1.6,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0
C,Gorgui Dieng,173,2019_20,2.7,6.0,1.0,2.6,1.7,3.4,1.0,1.3,1.6,4.0,5.6,1.3,0.8,0.9,1.0,1.9
C,Gorgui Dieng,174,2019_20,2.5,5.1,0.5,1.9,2.0,3.2,1.8,2.5,1.1,4.7,5.8,0.9,0.8,1.0,0.9,2.1
G,Spencer Dinwiddie,175,2019_20,6.6,16.0,1.9,6.3,4.7,9.7,5.4,7.0,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8
G,Donte DiVincenzo,176,2019_20,3.5,7.7,1.3,3.7,2.3,4.0,1.0,1.3,1.0,3.8,4.8,2.3,1.3,0.3,1.4,1.7
G,Luka Dončić,177,2019_20,9.5,20.6,2.8,8.9,6.7,11.7,7.0,9.2,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5
